State,Year,Month,Avg_rainfall
Chhattisgarh,2020,2,1.5351594335112961
Chhattisgarh,2020,3,3.104211607702765
Chhattisgarh,2020,4,1.1107905828643678
Chhattisgarh,2020,5,4.3539949275011525
Chhattisgarh,2020,6,9.386142087112644
Chhattisgarh,2020,7,8.678732678500555
Chhattisgarh,2020,8,0.4530068134771969
Chhattisgarh,2020,9,1.6580471500011496
Chhattisgarh,2020,10,2.21532552894327
Chhattisgarh,2020,11,0.5387739616160919
Chhattisgarh,2020,12,1.5315112613348163
Chhattisgarh,2021,1,0.08620405139976958
Chhattisgarh,2021,2,0.3946285766645408
Chhattisgarh,2021,3,0.18548983860714285
Chhattisgarh,2021,4,1.3597522531726192
Chhattisgarh,2021,5,2.7463221718859447
Chhattisgarh,2021,6,8.23645390182262
Chhattisgarh,2021,7,10.174250192358295
Chhattisgarh,2021,8,6.779534997957374
Chhattisgarh,2021,9,9.962706157470237
Chhattisgarh,2021,10,1.3538334665529954
Chhattisgarh,2021,11,0.7669202973488095
Chhattisgarh,2021,12,1.015024790361751
Chhattisgarh,2022,1,2.094756293554187
Chhattisgarh,2022,2,0.40351980346045924
Chhattisgarh,2022,3,0.09718975276785714
Chhattisgarh,2022,4,0.3370105655142857
Chhattisgarh,2022,5,0.862108853279493
Chhattisgarh,2022,6,5.03145729657619
Chhattisgarh,2022,7,14.322088896221674
Chhattisgarh,2022,8,14.6409724576856
Chhattisgarh,2022,9,6.169379670994312
Chhattisgarh,2022,10,2.476054539689413
Chhattisgarh,2022,11,0.010936440273076923
Chhattisgarh,2022,12,0.06742049883443878
Chhattisgarh,2023,1,0.006580567495476191
Chhattisgarh,2023,2,0.0026840795990740744
Chhattisgarh,2023,3,1.2033054381482142
Chhattisgarh,2023,4,1.5720275236702381
Chhattisgarh,2023,5,1.231330364452189
Chhattisgarh,2023,6,5.468945433724
Chhattisgarh,2023,7,10.279240063219856
Chhattisgarh,2023,8,7.0630501756078345
Chhattisgarh,2023,9,10.528254987715357
Chhattisgarh,2023,10,0.1822692312226708
Chhattisgarh,2023,11,0.16663184893154762
Chhattisgarh,2023,12,0.06313027114107143
Dadra & Nagar Haveli,2019,1,0.0
Dadra & Nagar Haveli,2019,2,0.0
Dadra & Nagar Haveli,2019,3,0.0
Dadra & Nagar Haveli,2019,4,0.0
Dadra & Nagar Haveli,2019,5,0.0
Dadra & Nagar Haveli,2019,6,11.596376151933333
Dadra & Nagar Haveli,2019,7,47.79909124012903
Dadra & Nagar Haveli,2019,8,33.28016662812904
Dadra & Nagar Haveli,2019,9,26.509667454
Dadra & Nagar Haveli,2019,10,3.7259058393548385
Dadra & Nagar Haveli,2019,11,1.4203942544666668
Dadra & Nagar Haveli,2019,12,0.0
Dadra & Nagar Haveli,2020,1,0.0
Dadra & Nagar Haveli,2020,2,0.0
Dadra & Nagar Haveli,2020,3,0.0
Dadra & Nagar Haveli,2020,4,0.0
Dadra & Nagar Haveli,2020,5,0.016954747612903227
Dadra & Nagar Haveli,2020,6,9.273478464266667
Dadra & Nagar Haveli,2020,7,13.244594114709678
Dadra & Nagar Haveli,2020,8,0.0
Dadra & Nagar Haveli,2020,9,0.0
Dadra & Nagar Haveli,2020,10,0.0
Dadra & Nagar Haveli,2020,11,0.0
Dadra & Nagar Haveli,2020,12,0.0
Dadra & Nagar Haveli,2021,1,0.08962194470967741
Dadra & Nagar Haveli,2021,2,0.009550996321428572
Dadra & Nagar Haveli,2021,3,0.0
Dadra & Nagar Haveli,2021,4,0.0998040538
Dadra & Nagar Haveli,2021,5,4.097893357451613
Dadra & Nagar Haveli,2021,6,12.972952237733333
Dadra & Nagar Haveli,2021,7,25.625649768225806
Dadra & Nagar Haveli,2021,8,11.713505128451613
Dadra & Nagar Haveli,2021,9,36.33424570146667
Dadra & Nagar Haveli,2021,10,3.6041838366774197
Dadra & Nagar Haveli,2021,11,1.9766888954666664
Dadra & Nagar Haveli,2021,12,2.5893387652580646
Dadra & Nagar Haveli,2022,1,0.14315875586206894
Dadra & Nagar Haveli,2022,2,0.0
Dadra & Nagar Haveli,2022,3,0.005281410774193549
Dadra & Nagar Haveli,2022,4,0.0
Dadra & Nagar Haveli,2022,5,0.0
Dadra & Nagar Haveli,2022,6,6.445381323933333
Dadra & Nagar Haveli,2022,7,71.40193641427585
Dadra & Nagar Haveli,2022,8,17.797314196416128
Dadra & Nagar Haveli,2022,9,23.988274439925927
Dadra & Nagar Haveli,2022,10,4.834676145942857
Dadra & Nagar Haveli,2022,11,0.0
Dadra & Nagar Haveli,2022,12,0.005027992417857142
Dadra & Nagar Haveli,2023,1,0.004297387726666667
Dadra & Nagar Haveli,2023,2,0.0025336683074074075
Dadra & Nagar Haveli,2023,3,0.6782860251399999
Dadra & Nagar Haveli,2023,4,0.056214095596666666
Dadra & Nagar Haveli,2023,5,0.1742967473419355
Dadra & Nagar Haveli,2023,6,13.406501651993333
Dadra & Nagar Haveli,2023,7,45.542106733186955
Dadra & Nagar Haveli,2023,8,6.110367698419355
Dadra & Nagar Haveli,2023,9,12.169254012596666
Dadra & Nagar Haveli,2023,10,0.5667957650217391
Dadra & Nagar Haveli,2023,11,1.3765124794266665
Dadra & Nagar Haveli,2023,12,0.0
Daman & Diu,2019,1,0.0
Daman & Diu,2019,2,0.0
Daman & Diu,2019,3,0.0
Daman & Diu,2019,4,0.0
Daman & Diu,2019,5,0.0
Daman & Diu,2019,6,8.640143469816667
Daman & Diu,2019,7,19.952042724064516
Daman & Diu,2019,8,17.983979972500002
Daman & Diu,2019,9,18.911256293466668
Daman & Diu,2019,10,1.2955461182580645
Daman & Diu,2019,11,2.134905793283333
Daman & Diu,2019,12,0.002328320306451613
Daman & Diu,2020,1,0.0
Daman & Diu,2020,2,0.0
Daman & Diu,2020,3,0.0
Daman & Diu,2020,4,0.0
Daman & Diu,2020,5,0.14130424337096772
Daman & Diu,2020,6,4.105660083083333
Daman & Diu,2020,7,11.650367817129032
Daman & Diu,2020,8,0.0
Daman & Diu,2020,9,0.0
Daman & Diu,2020,10,0.01732530858064516
Daman & Diu,2020,11,0.0
Daman & Diu,2020,12,0.0
Daman & Diu,2021,1,0.0530050499032258
Daman & Diu,2021,2,1.7924392857142857e-05
Daman & Diu,2021,3,0.0
Daman & Diu,2021,4,0.021629506983333335
Daman & Diu,2021,5,7.273076402580645
Daman & Diu,2021,6,6.323038723500001
Daman & Diu,2021,7,11.540794070629033
Daman & Diu,2021,8,8.246902252903226
Daman & Diu,2021,9,20.343193542166667
Daman & Diu,2021,10,1.215782787580645
Daman & Diu,2021,11,0.6982207632833333
Daman & Diu,2021,12,2.2602525917419354
Daman & Diu,2022,1,0.3881185260689655
Daman & Diu,2022,2,0.0
Daman & Diu,2022,3,0.006772462870967742
Daman & Diu,2022,4,0.03105300925
Daman & Diu,2022,5,0.008418821193548386
Daman & Diu,2022,6,6.031602205216667
Daman & Diu,2022,7,40.1760911465
Daman & Diu,2022,8,10.724486926654839
Daman & Diu,2022,9,17.060899180475925
Daman & Diu,2022,10,1.357242635275
Daman & Diu,2022,11,0.0
Daman & Diu,2022,12,0.033264495607142855
Daman & Diu,2023,1,0.00299352029
Daman & Diu,2023,2,4.6206296296296295e-07
Daman & Diu,2023,3,0.3513957156083334
Daman & Diu,2023,4,0.19086833549499999
Daman & Diu,2023,5,0.5251608219725806
